Baseline:350
Kinetic read 1 (0:00.00)
	1	2	3
B	0.079	0.079	0.078	Baseline:350 Read#1

Baseline:350

Kinetic read	B1	B2	B3
1:47.19	0.077	0.079	0.077
1:47.81	0.077	0.078	0.077
1:48.43	0.077	0.078	0.077
1:49.05	0.078	0.079	0.077
1:49.67	0.077	0.079	0.077
1:50.29	0.077	0.079	0.077
1:50.91	0.077	0.079	0.077
1:51.53	0.077	0.078	0.077
1:52.15	0.077	0.079	0.077
1:52.77	0.077	0.079	0.077
1:53.39	0.077	0.078	0.077
1:54.01	0.078	0.078	0.077
1:54.63	0.077	0.078	0.077
1:55.25	0.077	0.079	0.077
1:55.87	0.078	0.079	0.077
1:56.49	0.077	0.079	0.077
1:57.11	0.077	0.079	0.077
1:57.73	0.078	0.079	0.077
1:58.35	0.077	0.079	0.077
1:58.97	0.077	0.079	0.077
1:59.59	0.078	0.078	0.077
2:00.21	0.077	0.079	0.077
2:00.83	0.078	0.079	0.077
2:01.45	0.078	0.079	0.077
2:02.07	0.078	0.078	0.077
2:02.69	0.078	0.079	0.077
2:03.31	0.077	0.079	0.077
2:03.93	0.078	0.079	0.077
2:04.55	0.078	0.079	0.077
2:05.17	0.078	0.078	0.077
2:05.79	0.077	0.079	0.077
2:06.41	0.078	0.079	0.077
2:07.03	0.077	0.079	0.077
2:07.65	0.078	0.079	0.077
2:08.27	0.077	0.079	0.077
2:08.89	0.078	0.079	0.077
2:09.51	0.078	0.079	0.077
2:10.13	0.078	0.079	0.077
2:10.75	0.078	0.079	0.077
2:11.37	0.078	0.078	0.077
2:11.99	0.078	0.079	0.077
2:12.61	0.077	0.079	0.077
2:13.23	0.077	0.079	0.077
2:13.85	0.077	0.079	0.077
2:14.47	0.078	0.078	0.077
2:15.09	0.078	0.079	0.077
2:15.71	0.078	0.079	0.077
2:16.33	0.078	0.079	0.077
2:16.95	0.078	0.079	0.077
2:17.57	0.078	0.078	0.077
2:18.19	0.078	0.079	0.077
2:18.81	0.078	0.079	0.077
2:19.43	0.078	0.079	0.077
2:20.05	0.078	0.079	0.077
2:20.67	0.078	0.079	0.077
2:21.29	0.078	0.079	0.077
2:21.91	0.078	0.079	0.077
2:22.53	0.078	0.079	0.077
2:23.15	0.078	0.079	0.077
2:23.77	0.078	0.079	0.077
2:24.39	0.078	0.079	0.077
2:25.01	0.078	0.079	0.077
2:25.63	0.078	0.079	0.077
2:26.25	0.078	0.079	0.077
2:26.87	0.078	0.079	0.077
2:27.49	0.078	0.079	0.077
2:28.11	0.078	0.079	0.077
2:28.73	0.078	0.079	0.077
2:29.35	0.078	0.079	0.077
2:29.97	0.078	0.079	0.077
2:30.59	0.078	0.079	0.077
2:31.21	0.078	0.079	0.077
2:31.83	0.078	0.079	0.077
2:32.45	0.078	0.079	0.077
2:33.07	0.078	0.079	0.077
2:33.69	0.078	0.079	0.077
2:34.31	0.078	0.079	0.077
2:34.93	0.078	0.079	0.077
2:35.55	0.078	0.079	0.077
2:36.17	0.078	0.079	0.077
2:36.79	0.078	0.079	0.077
2:37.41	0.078	0.079	0.077
2:38.03	0.078	0.079	0.077
2:38.65	0.078	0.079	0.077
2:39.27	0.078	0.079	0.077
2:39.89	0.078	0.079	0.077
2:40.51	0.078	0.079	0.077
2:41.13	0.078	0.079	0.077
2:41.75	0.078	0.079	0.077
